INCOME,SPENT
5000,8000
6000,7000
10000,4500
10000,2000
12500,12000
14000,8000
15000,16000
18000,20000
19000,9000
20000,9000
20000,18000
22000,25000
23400,5000
24000,10500
24000,10000
25000,12300
25000,20000
25000,10000
29000,6600
30000,13000
30500,25000
32000,15000
34000,19000
34000,25000
35000,12000
35000,25000
39000,8000
40000,10000
42000,15000
43000,12000
45000,25000
45000,40000
45000,10000
45000,22000
46000,25000
47000,15000
50000,20000
50500,20000
55000,45000
60000,10000
60000,50000
65000,20000
70000,9000
80000,20000
85000,25000
90000,48000
98000,25000
100000,30000
100000,50000
100000,40000
